StudentID,HW_F2015,Final_F2015,HW_W2016,Final_W2016
1,98.8,96.32222222,96.09375,86.57204861
2,91.52,91.97333333,99.16666667,88.56944444
3,97.37333333,91.91888889,94.72222222,79.45833333
4,96.05333333,91.48444444,95.41666667,84.57638889
5,94.14666667,91.16555556,93.72395833,85.03168403
6,95.93333333,90.83888889,97.29166667,89.68402778
7,95.93333333,88.06111111,98.33333333,89.58333333
8,90.08,87.56,96.92708333,84.78038194
9,96.05333333,87.04,96.5625,85.32118056
10,92.58666667,86.66222222,92.78645833,84.42230903
11,91.4,84.66111111,91.19791667,78.72309028
12,90.8,84.21111111,98.75,93.74305556
13,86.26666667,79.7,97.55208333,88.29774306
14,81.37333333,79.36333333,95.625,74.60069444
15,88.65333333,78.71222222,84.375,83.62152778
16,,,93.046875,79.14713542
17,,,96.66666667,81.5
