id,Condition,Age,Sex,STAI_S_Y_PRE,SSS_total,BART,STAI_S_Y_DURING,STAI_S_Y_POST,Cycling_Frequency,Helmet_Use_Likelihood
1,1,25,1,37,18,3.67,32,32,2,1
2,1,24,2,27,19,36.5,30,24,2,2
3,1,26,1,30,35,29.28,34,28,3,2
4,1,24,1,30,28,30.5,28,30,4,3
5,1,24,2,32,26,24.08,44,32,2,1
6,1,24,2,34,12,32.1,30,29,5,6
7,1,24,2,29,18,50.67,28,27,4,4
8,1,22,1,25,36,26.26,23,24,3,1
9,1,24,2,28,23,41.05,25,24,5,6
10,1,26,2,36,24,20.56,30,32,2,1
11,2,27,1,25,16,29.38,24,25,4,2
12,2,25,2,27,17,42.5,25,26,5,5
13,2,23,2,25,13,41.57,24,23,4,1
14,2,26,1,27,12,47.77,24,23,4,3
15,2,23,2,23,17,32.45,23,23,6,6
16,2,23,1,43,21,30.65,37,38,2,1
17,2,18,1,42,16,7.04,43,40,2,1
18,2,17,2,31,20,2.68,26,24,2,1
19,2,18,2,36,12,22.04,34,31,3,3
20,2,18,1,30,20,25.86,25,25,2,1
21,2,27,1,23,23,55.5,27,23,5,7
22,2,20,2,26,14,38.87,25,25,2,1
23,1,24,1,31,26,35.47,32,33,2,1
24,1,24,1,36,28,48.05,40,47,2,1
25,1,25,2,34,19,43.45,35,35,5,6
26,1,26,2,26,30,58.08,32,25,2,1
27,1,27,2,32,31,61.47,31,28,4,4
28,1,25,1,23,32,70.3,23,23,5,2
29,1,26,1,38,26,41.44,34,35,2,1
30,1,26,2,45,12,77.13,50,41,1,0
31,2,25,2,41,18,34.82,44,34,1,0
32,2,35,1,37,13,42.83,37,34,4,7
33,2,30,1,32,24,11.81,31,35,5,5
34,2,29,2,36,12,45.53,35,34,2,1
35,2,27,2,29,17,31.77,26,27,4,2
36,2,22,1,29,22,29.82,27,23,2,6
37,2,24,1,32,11,20.91,34,34,2,4
38,2,56,2,27,19,26.56,26,26,3,1
39,2,25,1,31,15,26.38,31,30,6,5
40,2,35,2,36,18,23.14,38,43,5,7
41,2,35,1,34,11,40.61,34,35,4,7
42,1,26,2,34,27,81.29,34,37,1,0
43,1,25,2,31,25,79.25,31,33,6,7
44,1,29,2,36,26,28.18,25,26,6,1
45,1,35,1,34,23,30.64,33,34,4,7
46,1,31,2,37,15,9.04,35,31,2,2
47,1,26,1,32,27,31.3,23,23,3,6
48,1,25,1,27,24,41.67,34,29,2,1
49,1,26,2,35,13,39.95,34,33,5,7
50,1,45,2,27,11,55.72,46,30,3,6
51,1,31,1,28,28,43.32,25,24,2,1
52,1,27,1,24,23,27.39,27,26,1,0
53,2,24,2,24,27,39.39,25,25,1,0
54,2,25,1,27,28,42.14,25,26,2,1
55,2,25,2,28,17,35.8,28,27,3,1
56,2,27,2,29,19,42.2,29,29,1,0
57,2,26,1,27,27,6.77,32,28,2,1
58,2,28,1,30,27,48.91,27,26,4,7
59,2,24,2,34,18,56.58,27,29,6,7
60,1,49,2,28,17,25.31,27,31,1,0
61,1,18,2,27,12,24.05,23,23,3,1
62,1,19,2,31,25,24.53,34,32,3,1
63,1,28,2,35,16,37.5,51,41,2,1
64,1,19,1,26,20,49.73,30,23,2,1
65,1,30,2,38,34,63.46,37,38,1,0
66,1,24,1,34,30,57.38,35,35,4,5
67,1,18,2,38,31,37.71,38,38,2,1
68,1,19,2,30,12,26.64,28,26,2,5
69,1,18,2,29,24,31.6,43,36,2,1
70,2,34,1,28,25,39.06,28,26,1,0
71,2,42,1,31,26,50.44,29,30,1,0
72,2,21,1,32,17,37.33,38,36,5,7
73,2,18,2,31,14,18.17,31,32,3,7
74,2,18,2,29,25,16.88,31,30,4,2
75,2,19,2,26,23,24.73,25,25,1,0
76,2,18,2,37,11,24.96,41,43,1,0
77,2,19,2,40,23,21.5,39,41,3,6
78,2,18,2,32,18,24.04,28,30,2,2
79,2,20,2,50,25,15.42,54,59,1,0
80,2,22,1,36,19,18.79,47,36,2,5
