month,date,NationwideRepublicanSupport,NationwideDemocraticSupport,VoterIntentionIndex,VoterIntentionChangeIndex,DailyEbolaSearchVolume,EbolaSearchVolumeIndex,DailyISISSearchVolume,ISISSearchVolumeIndex,DJIA,LexisNexisNewsVolume,LexisNexisNewsVolumeWeek,
September,1,,,,,3,2.86,14,,,23,37.57,
September,2,,,,,5,3.14,37,,17,67.56,38,34.86
September,3,,,,,6,3.57,48,,17,78.28,52,36.43
September,4,,,,,4,3.71,37,,17,69.58,50,37.14
September,5,,,,,4,3.86,27,,17,137.36,51,40
September,6,,,,,3,3.57,23,,,31,38.86,
September,7,43.7,42.3,1.4,,3,4,24,30,,23,38.29,
September,8,,,,,3,4,23,31.29,17,111.42,30,39.29
September,9,43.7,42.5,1.2,,4,3.86,19,28.71,17,13.87,74,44.43
September,10,,,,,3,3.43,27,25.71,17,68.71,42,43
September,11,,,,,3,3.29,100,34.71,17,49,32,40.43
September,12,,,,,3,3.14,36,36,16,987.51,52,40.57
September,13,,,,,3,3.14,25,36.29,,29,40.29,
September,14,43.9,42.9,1,-0.4,2,3,52,40.29,,29,41.14,
September,15,,,,,3,3,28,41,17,31.14,40,42.57
September,16,,,,,5,3.14,23,41.57,17,131.97,89,44.71
September,17,,,,,6,3.57,19,40.43,17,156.85,128,57
September,18,43.8,43.2,0.6,,3,3.57,22,29.29,17,265.99,140,72.43
September,19,,,,,4,3.71,18,26.71,17,279.74,71,75.14
September,20,,,,,2,3.57,13,25,,57,79.14,
September,21,43.7,43.3,0.4,-0.6,2,3.57,16,19.86,,36,80.14,
September,22,,,,,3,3.57,16,18.14,17,172.68,85,86.57
September,23,,,,,4,3.43,33,19.57,17,55.87,74,84.43
September,24,,,,,4,3.14,24,20.29,17,210.06,90,79
September,25,43.1,43.5,-0.4,-1,4,3.29,22,20.29,16,945.8,92,72.14
September,26,,,,,4,3.29,22,20.86,17,113.15,113,78.14
September,27,,,,,3,3.43,15,21.14,,69,79.86,
September,28,43.3,43.6,-0.3,-0.7,6,4,14,20.86,,57,82.86,
September,29,43.4,43.6,-0.2,,5,4.29,13,20.43,17,71.22,55,78.57
September,30,43.5,43.6,-0.1,,22,6.86,11,17.29,17,42.9,57,76.14
October,1,,,,,50,13.43,10,15.29,16,804.71,197,91.43
October,2,43.8,43.7,0.1,0.5,68,22.57,8,13.29,16,801.05,298,120.86
October,3,,,,,66,31.43,8,11.29,17,9.69,237,138.57
October,4,,,,,52,38.43,11,10.71,,160,151.57,
October,5,44.3,43.6,0.7,1,41,43.43,9,10,,125,161.29,
October,6,44.4,43.6,0.8,1,43,48.86,9,9.43,16,991.91,118,170.29
October,7,44.5,43.5,1,1.1,35,50.71,9,9.14,16,719.39,186,188.71
October,8,,,,,52,51,9,9,16,994.22,208,190.29
October,9,44.6,43.5,1.1,1,57,49.43,9,9.14,16,695.25,314,192.57
October,10,,,,,62,48.86,7,9,16,544.1,250,194.43
October,11,,,,,37,46.71,9,8.71,,175,196.57,
October,12,44.7,43.4,1.3,0.6,51,48.14,10,8.86,,157,201.14,
October,13,,,,,57,50.14,8,8.71,16,321.07,315,229.29
October,14,44.9,43.5,1.4,0.4,57,53.29,7,8.43,16,315.19,322,248.71
October,15,,,,,92,59,8,8.29,16,141.74,353,269.43
October,16,45.1,43.5,1.6,0.5,100,65.14,6,7.86,16,117.24,512,297.71
October,17,,,,,83,68.14,7,7.86,16,380.41,583,345.29
October,18,,,,,56,70.86,6,7.43,,402,377.71,
October,19,,,,,38,69,5,6.71,,269,393.71,
October,20,45.4,43.5,1.9,,35,65.86,5,6.29,16,399.67,384,403.57
October,21,45.5,43.5,2,0.6,40,63.43,5,6,16,614.81,359,408.86
October,22,,,,,28,54.29,4,5.43,16,461.32,327,405.14
October,23,45.6,43.5,2.1,0.5,22,43.14,6,5.43,16,677.9,273,371
October,24,,,,,48,38.14,5,5.14,16,805.41,388,343.14
October,25,,,,,25,33.71,4,4.86,,302,328.86,
October,26,45.7,43.5,2.2,,20,31.14,4,4.71,,197,318.57,
October,27,45.8,43.5,2.3,0.4,23,29.43,4,4.57,16,817.94,294,305.71
October,28,,,,,24,27.14,3,4.29,17,5.75,327,301.14
October,29,,,,,22,26.29,4,4.29,16,974.31,259,291.43
October,30,45.9,43.6,2.3,0.2,18,25.71,4,4,17,195.42,293,294.29
October,31,,,,,16,21.14,4,3.86,17,390.52,281,279
November,1,46,43.6,2.4,,11,19.14,3,3.71,,218,267,
November,2,,,,,11,17.86,4,3.71,,150,260.29,
November,3,,,,,36,19.71,4,3.71,17,366.24,214,248.86
November,4,,,,,15,18.43,4,3.86,17,383.84,118,219
