StateSenateRace,SeptMeanVoterIntentionIndex,OctMeanVoterIntentionIndex,StateSpecificVoterIntentionIndexDifferenceScore,CorrelationBtwnESVIandSSVII,PollingDifferenceInFinalPollInSeptember,PVI
Alabama (uncontested,,,,,,
Delaware,-14.33,-17,-2.67,-0.91,-15.3,-8
Hawaii,-35.6,-51.83,-16.23,-0.76,-39.1,-20
Illinois,-11.57,-13.48,-1.92,-0.65,-13.4,-8
Massachusetts,-23.55,-21.94,1.61,0.42,-24.4,-10
Michigan,-5.88,-10.69,-4.81,-0.69,-7.6,-4
Minnesota,-9.53,-10.76,-1.23,-0.74,-10.2,-2
New Hampshire,-4.83,-2.56,2.27,0.64,-4,-1
New Jersey,-11.88,-13.55,-1.68,-0.68,-12.4,-6
New Mexico,-15.3,-13.9,1.4,0.87,-15.5,-4
North Carolina,-2.77,-1.59,1.18,0.91,-3,3
Oregon,-15.57,-18.05,-2.48,-0.78,-16,-5
Rhode Island,-27.95,-42.2,-14.25,-0.87,-33.8,-11
Virginia,-15.13,-10.53,4.59,0.73,-13.8,0
Alaska,2.4,4.58,2.18,0.4,5,12
Arkansas,3.43,5.84,2.42,0.62,4,14
Colorado,-0.44,2.39,2.83,0.67,2.6,-1
Georgia,4.84,1.91,-2.93,-0.74,3.7,6
Idaho,30.7,34.5,3.8,0.2,30.7,18
Iowa,0.16,1.59,1.44,0.77,0.8,-1
Kansas,27.97,,,-0.81,29.6,12
Kentucky,4.73,4.04,-0.69,-0.29,4.4,13
Louisiana,4.65,5.82,1.17,0.38,6.3,12
Maine,30.98,29.2,-1.78,-0.37,31.3,-5
Mississippi,15,20.5,5.5,0.94,15,9
Montana,19.5,21.57,2.07,0.88,19.5,7
Nebraska,27,28.55,1.55,1,27,12
Oklahoma 1,32.6,35.1,2.5,0.89,32.8,19
Oklahoma 2,31.85,32.07,0.22,0.57,31.5,19
South Carolina 1,21,24.85,3.85,0.99,21,8
South Carolina 2,14.55,16.15,1.6,0.61,15.8,8
South Dakota,12.5,12.12,-0.38,-0.49,11.9,10
Tennessee,17.5,21.35,3.85,0.89,17.5,12
Texas,19.6,22.08,2.48,0.9,19.4,10
West Virginia,18.4,22.1,3.7,0.91,18.4,13
Wyoming,44,44.95,0.95,0.93,44.7,22
