"DV (Y= You, T= Trash, M= Mark)","Age (1= younger, 2 = older)",Age,"Sex (1=Male, 2= Female)",,,,,
Y,1,48.97,1,,,,,
T,1,50.93,2,,,,,
T,1,50.97,1,,,,,
Y,1,53.07,1,,,,,
Y,1,53.10,2,,,,,
T,1,53.60,2,,,,,
Y,1,53.80,1,,,,,
Y,1,54.40,2,,,,,
Y,1,54.47,1,,,,,
Y,1,55.03,1,,,,,
Y,1,55.10,1,,,,,
Y,1,55.17,1,,,,,
M,1,56.07,1,,,,,
M,1,56.47,1,,,,,
Y,1,56.67,2,,,,,
Y,1,56.83,1,,,,,
M,1,57.17,2,,,,,
M,1,57.57,1,,,,,
T,1,58.20,2,,,,,
M,1,58.53,2,,,,,
Y,1,58.63,2,,,,,
M,1,59.40,1,,,,,
Y,1,59.40,1,,,,,
M,1,61.03,2,,,,,
T,1,61.50,1,,,,,
Y,1,62.27,2,,,,,
Y,1,62.93,1,,,,,
Y,1,64.40,1,,,,,
Y,1,64.73,1,,,,,
Y,1,64.90,2,,,,,
Y,1,65.20,1,,,,,
T,1,65.70,2,,,,,
M,1,66.77,2,,,,,
Y,1,66.83,2,,,,,
T,1,66.83,1,,,,,
Y,1,67.00,1,,,,,
M,1,67.07,2,,,,,
Y,1,67.23,1,,,,,
T,1,68.40,1,,,,,
M,1,68.60,2,,,,,
M,1,69.30,2,,,,,
Y,1,69.33,1,,,,,
Y,1,69.37,2,,,,,
Y,1,69.70,1,,,,,
Y,1,70.17,2,,,,,
Y,1,70.33,1,,,,,
Y,1,70.33,2,,,,,
T,1,71.10,1,,,,,
T,1,71.13,1,,,,,
Y,1,71.13,1,,,,,
Y,1,71.20,2,,,,,
Y,1,71.87,2,,,,,
M,1,72.37,2,,,,,
M,1,72.37,2,,,,,
Y,1,72.57,1,,,,,
Y,1,73.07,1,,,,,
M,1,73.23,1,,,,,
Y,1,74.03,1,,,,,
M,1,74.67,2,,,,,
M,1,75.40,1,,,,,
T,1,75.67,2,,,,,
Y,1,76.17,1,,,,,
M,1,78.73,2,,,,,
Y,1,79.20,1,,,,,
T,1,79.33,2,,,,,
Y,1,79.40,2,,,,,
Y,1,79.83,1,,,,,
Y,1,79.90,2,,,,,
M,1,79.97,1,,,,,
Y,1,80.13,1,,,,,
Y,1,80.30,1,,,,,
Y,1,80.43,2,,,,,
T,1,82.20,2,,,,,
T,1,82.23,2,,,,,
M,1,82.43,2,,,,,
Y,1,82.83,2,,,,,
Y,1,82.90,1,,,,,
T,1,83.17,2,,,,,
T,1,83.17,1,,,,,
Y,1,83.30,1,,,,,
M,1,83.40,1,,,,,
Y,1,83.43,1,,,,,
Y,2,85.43,2,,,,,
T,2,85.77,2,,,,,
T,2,86.20,1,,,,,
T,2,86.60,1,,,,,
T,2,87.30,1,,,,,
M,2,87.60,2,,,,,
M,2,88.13,2,,,,,
T,2,88.43,2,,,,,
T,2,88.80,2,,,,,
T,2,89.17,1,,,,,
M,2,89.20,1,,,,,
T,2,89.80,2,,,,,
T,2,89.83,1,,,,,
T,2,90.23,2,,,,,
M,2,90.27,2,,,,,
T,2,92.53,1,,,,,
M,2,93.20,2,,,,,
M,2,93.30,2,,,,,
T,2,93.40,2,,,,,
M,2,93.83,2,,,,,
M,2,94.40,1,,,,,
M,2,95.10,2,,,,,
T,2,95.87,1,,,,,
Y,2,95.87,2,,,,,
M,2,96.40,2,,,,,
T,2,96.43,2,,,,,
T,2,96.93,2,,,,,
M,2,97.23,2,,,,,
Y,2,97.40,1,,,,,
M,2,97.63,1,,,,,
M,2,97.70,1,,,,,
T,2,98.93,2,,,,,
Y,2,99.17,2,,,,,
M,2,99.60,2,,,,,
M,2,99.60,2,,,,,
T,2,100.13,1,,,,,
M,2,100.43,1,,,,,
M,2,100.60,2,,,,,
Y,2,100.73,2,,,,,
T,2,102.03,2,,,,,
M,2,104.77,2,,,,,
T,2,104.93,2,,,,,
T,2,106.00,2,,,,,
Y,2,106.23,1,,,,,
M,2,106.90,2,,,,,
