"DV (0=Trash, 1= Give)"," (-.5 = Disadvantaged by Self, .5 = Disadvantaged by Other)","Age (1= younger, 2 = older)",Age,"Sex (1=Male, 2= Female)",,,,,,,,
1,-0.5,2,111,1,,,,,,,,
1,-0.5,2,107,2,,,,,,,,
0,-0.5,2,106,2,,,,,,,,
1,-0.5,2,106,1,,,,,,,,
0,-0.5,2,105,2,,,,,,,,
0,-0.5,2,104,1,,,,,,,,
0,-0.5,2,102,2,,,,,,,,
1,-0.5,2,101,1,,,,,,,,
1,-0.5,2,99,1,,,,,,,,
1,-0.5,2,100,2,,,,,,,,
1,-0.5,2,100,2,,,,,,,,
1,-0.5,2,99,2,,,,,,,,
0,-0.5,2,98,2,,,,,,,,
1,-0.5,2,97,1,,,,,,,,
1,-0.5,2,96,1,,,,,,,,
0,-0.5,2,96,2,,,,,,,,
1,-0.5,2,94,1,,,,,,,,
0,-0.5,2,94,2,,,,,,,,
1,-0.5,2,93,2,,,,,,,,
0,-0.5,2,93,1,,,,,,,,
0,-0.5,2,94,1,,,,,,,,
0,-0.5,2,93,1,,,,,,,,
1,-0.5,2,93,2,,,,,,,,
0,-0.5,2,92,2,,,,,,,,
1,-0.5,2,93,1,,,,,,,,
1,-0.5,2,93,2,,,,,,,,
1,-0.5,2,91,2,,,,,,,,
1,-0.5,2,92,1,,,,,,,,
1,-0.5,2,90,2,,,,,,,,
0,-0.5,2,90,2,,,,,,,,
1,-0.5,2,89,1,,,,,,,,
0,-0.5,2,89,1,,,,,,,,
0,-0.5,2,86,2,,,,,,,,
1,-0.5,2,87,2,,,,,,,,
0,-0.5,2,84,2,,,,,,,,
1,-0.5,2,84,1,,,,,,,,
1,-0.5,2,84,1,,,,,,,,
0,-0.5,2,84,1,,,,,,,,
1,0.5,2,107,2,,,,,,,,
0,0.5,2,106,2,,,,,,,,
0,0.5,2,106,2,,,,,,,,
0,0.5,2,105,2,,,,,,,,
1,0.5,2,105,2,,,,,,,,
0,0.5,2,103,2,,,,,,,,
0,0.5,2,103,2,,,,,,,,
0,0.5,2,101,2,,,,,,,,
0,0.5,2,101,2,,,,,,,,
